leverantör,year,belopp
'MITTHEM I BERGSLAGEN AB (FB),2019,728640.0
(B) ID STIGBERGET,2019,5500.0
.SE (Stiftelsen för Internet Infrastruktur),2016,98750.5
.SE (Stiftelsen för Internet Infrastruktur),2017,20050.5
.SE (Stiftelsen för Internet Infrastruktur),2018,20050.5
.SE (Stiftelsen för Internet Infrastruktur),2019,21250.5
.SE STIFTELSEN INTERNETINFRASTRUKTU (FB),2016,19104.0
.SE STIFTELSEN INTERNETINFRASTRUKTU (FB),2017,21160.0
.SE STIFTELSEN INTERNETINFRASTRUKTU (FB),2018,24832.0
.SE STIFTELSEN INTERNETINFRASTRUKTU (FB),2019,6520.0
02 LANDSKAP,2016,884239.3799999999
02 LANDSKAP,2017,81183.09999999999
02 LANDSKAP,2018,1000887.5
02 LANDSKAP,2019,1491616.87
060001 - FULLA SEGEL AB (FB),2017,100076.51999999995
060001 - FULLA SEGEL AB (FB),2018,88011.06999999996
060001 - FULLA SEGEL AB (FB),2019,78893.22000000002
060051 - EGA BJÖRKÖ AB,2016,651.78
060150-FORSHEDA LIVS AB,2016,1112.47
060150-FORSHEDA LIVS AB,2017,1500.0
060150-FORSHEDA LIVS AB,2018,286.26
060150-FORSHEDA LIVS AB,2019,1568.75
061796 - HJÄLLBOLAGET AB,2016,87150.27999999997
061796-HJÄLLBOLAGET AB,2016,388543.2199999997
061796-HJÄLLBOLAGET AB,2017,132166.28999999995
063275 - SILVERIN LIVS AB,2016,17071.980000000003
063275 - SILVERIN LIVS AB,2017,54681.259999999995
063275 - SILVERIN LIVS AB,2018,40263.48000000001
063275 - SILVERIN LIVS AB,2019,50702.11000000002
063500-RAEKMACKAN LIVS AB,2016,3000.4
063500-RAEKMACKAN LIVS AB,2017,16097.94
063500-RAEKMACKAN LIVS AB,2018,8705.8
063500-RAEKMACKAN LIVS AB,2019,13333.77
064178 - SMYCKETORGETS LIVS ICA SUPERMARKET FRÖLUNDA,2017,19788.6
064178 - SMYCKETORGETS LIVS ICA SUPERMARKET FRÖLUNDA,2018,49693.74
064178 - SMYCKETORGETS LIVS ICA SUPERMARKET FRÖLUNDA,2019,41818.99000000002
064667 - UPPÅT LIVS AB,2017,3648.19
064667 - UPPÅT LIVS AB,2018,1978.08
064667 - UPPÅT LIVS AB,2019,2976.6800000000003
064901 - HEDENS MAT AB,2016,888.77
064901 - HEDENS MAT AB,2017,6213.2699999999995
064901 - HEDENS MAT AB,2018,14096.359999999999
064901 - HEDENS MAT AB,2019,18927.370000000003
065139 - STABBEMARKET AB,2016,28399.480000000003
065139 - STABBEMARKET AB,2017,13678.310000000001
065139 - STABBEMARKET AB,2018,1930.47
065155-GRANQVIST MAT AB,2018,13414.149999999998
065155-GRANQVIST MAT AB,2019,15828.860000000002
065161 - NÄRBUTIKEN I KVÄLLEBÄCKEN,2016,278.96
065202-ROSENLUNDSGATANS ICA SUPERMARKET,2017,8141.95
065202-ROSENLUNDSGATANS ICA SUPERMARKET,2018,12004.67
065202-ROSENLUNDSGATANS ICA SUPERMARKET,2019,37515.21000000001
08-POKALER PRISHUSET WIEL AB,2018,584.75
1 R.O.K. ULF & LOTTA PERSSON HB,2017,80000.0
1 R.O.K. ULF & LOTTA PERSSON HB,2018,59000.0
1 R.O.K. ULF & LOTTA PERSSON HB,2019,75042.0
"1,6 MILJONERKLUBBEN",2016,2000.0
"1036, BRF HISINGS KÄRRA",2016,37957.0
104 CENT QUATRE EPCC,2018,62796.45
123INK AB,2018,175.2
123STUDENT AB,2016,11560.0
123STUDENT AB (FB),2017,14953.96
123STUDENT AB (FB),2018,42350.00000000001
149 KB BUREN 134:1,2016,1654136.0
149 KB BUREN 134:1,2017,1626218.0
149 KB BUREN 134:1,2018,1593008.0
149 KB BUREN 134:1,2019,1593196.0
158:ANS FISK AB,2017,4010.0
2 ENTERTAIN SVERIGE AB,2016,15000.0
2 ENTERTAIN SVERIGE AB,2019,462091.25
2 HOME HOTEL/EXCELLENCE HOTELS AB,2016,1754.46
2 X LINDHOLM AB,2019,5000.0
2011 HSBS BRF BETEL,2018,5875.0
2020 HSBS BRF ÄNGGÅRDEN,2016,19705.0
2043 HSBS BRF BJÖREKÄRR,2016,88000.0
2043 HSBS BRF BJÖREKÄRR,2017,88000.0
2043 HSBS BRF BJÖREKÄRR,2018,88000.0
2043 HSBS BRF BJÖREKÄRR,2019,88300.0
2067 HSB BRF TRIANGELN,2017,2200.0
